soil_C,soil_M,soil_S,pile_mat_comp,pile_mat_conc,pile_mat_steel,avg_N,open_ended,cross_area,circ,length,davisson
0,1,0,0,1,0,12,0,100.0,40.0,68.0,154.0
0,1,0,0,1,0,12,0,195.999442,56.06299213,52.0,292.0
0,1,0,0,1,0,12,0,324.000248,71.96850394,49.0,297.0
0,1,0,0,1,0,28,0,100.0,40.0,68.0,154.0
0,1,0,0,1,0,28,0,195.999442,56.06299213,52.0,292.0
0,1,0,0,1,0,28,0,324.000248,71.96850394,49.0,297.0
0,1,0,0,1,0,26,0,100.0,40.0,68.0,154.0
0,1,0,0,1,0,26,0,195.999442,56.06299213,52.0,292.0
0,1,0,0,1,0,26,0,324.000248,71.96850394,49.0,297.0
0,1,0,0,1,0,21,0,324.000248,71.96850394,69.0,383.0
0,0,1,0,1,0,42,0,143.999938,48.03149606,16.3,197.0
0,1,0,0,1,0,28,0,143.999938,48.03149606,49.1,200.0
0,1,0,0,1,0,56,0,256.000062,63.93700787,23.8,249.0
0,1,0,0,1,0,39,0,195.999442,56.06299213,52.5,222.0
0,1,0,0,1,0,45,0,575.999752,96.06299213,54.8,931.0
0,1,0,0,1,0,36,0,575.999752,96.06299213,49.2,813.0
0,1,0,0,1,0,36,0,400.0,80.0,47.3,461.0
0,1,0,0,1,0,36,0,575.999752,96.06299213,27.9,984.0
0,1,0,0,1,0,46,0,575.999752,96.06299213,27.9,984.0
0,0,1,0,1,0,32,0,576.0,96.0,36.5,254.0
0,0,1,0,1,0,32,0,400.0,80.0,46.0,564.0
0,0,1,0,1,0,53,0,576.0,96.0,36.5,254.0
0,0,1,0,1,0,53,0,400.0,80.0,46.0,564.0
0,0,1,0,1,0,15,0,576.0,96.0,36.5,254.0
0,0,1,0,1,0,15,0,400.0,80.0,46.0,564.0
0,0,1,0,1,0,16,0,143.999938,48.03149606,28.0,134.0
0,0,1,0,1,0,54,0,195.999442,56.06299213,33.0,366.0
0,0,1,0,1,0,30,0,195.999442,56.06299213,33.0,366.0
0,0,1,0,1,0,43,0,900.0,120.0,52.0,909.0
0,0,1,0,1,0,43,0,900.0,120.0,44.0,777.0
0,0,1,0,1,0,48,0,900.0,120.0,52.0,909.0
0,0,1,0,1,0,48,0,900.0,120.0,44.0,777.0
0,1,0,0,1,0,29,0,195.999442,56.06299213,76.0,460.0
0,1,0,0,1,0,29,0,324.000248,71.96850394,53.1,307.0
0,1,0,0,1,0,29,0,195.999442,56.06299213,76.0,409.0
0,1,0,0,1,0,29,0,195.999442,56.06299213,69.65,356.0
0,1,0,0,1,0,46,0,195.999442,56.06299213,76.0,460.0
0,1,0,0,1,0,46,0,324.000248,71.96850394,53.1,307.0
0,1,0,0,1,0,46,0,195.999442,56.06299213,76.0,409.0
0,1,0,0,1,0,46,0,195.999442,56.06299213,69.65,356.0
0,1,0,0,1,0,34,0,195.999442,56.06299213,76.0,460.0
0,1,0,0,1,0,34,0,324.000248,71.96850394,53.1,307.0
0,1,0,0,1,0,34,0,195.999442,56.06299213,76.0,409.0
0,1,0,0,1,0,34,0,195.999442,56.06299213,69.65,356.0
0,1,0,0,1,0,35,0,195.999442,56.06299213,76.0,460.0
0,1,0,0,1,0,35,0,324.000248,71.96850394,53.1,307.0
0,1,0,0,1,0,35,0,195.999442,56.06299213,76.0,409.0
0,1,0,0,1,0,35,0,195.999442,56.06299213,69.65,356.0
0,1,0,0,1,0,31,0,400.0,80.0,46.0,569.0
0,1,0,0,1,0,31,0,400.0,80.0,36.0,371.0
0,1,0,0,1,0,25,0,400.0,80.0,36.0,371.0
0,0,1,0,1,0,8,0,195.999442,56.06299213,67.0,281.0
0,0,1,0,1,0,23,0,324.000248,71.96850394,31.0,202.0
0,1,0,0,1,0,31,0,195.999442,56.06299213,8.8,86.0
0,0,1,0,1,0,48,0,400.0,80.0,46.2,578.0
0,0,1,0,1,0,48,0,400.0,80.0,36.0,369.0
0,0,1,0,1,0,31,0,400.0,80.0,46.2,578.0
0,0,1,0,1,0,31,0,400.0,80.0,36.0,369.0
0,1,0,0,1,0,14,0,575.999752,96.06299213,37.2,627.0
0,1,0,0,1,0,14,0,575.999752,96.06299213,28.5,468.0
0,1,0,0,1,0,17,0,575.999752,96.06299213,37.2,627.0
0,1,0,0,1,0,17,0,575.999752,96.06299213,28.5,468.0
0,1,0,0,1,0,11,0,462.999876,96.06299213,90.72,965.0
0,1,0,0,1,0,25,0,256.000062,63.93700787,37.57,139.0
0,1,0,0,1,0,45,0,462.999876,96.06299213,68.9,439.0
1,0,0,0,1,0,12,0,256.000062,63.93700787,66.33,189.0
1,0,0,0,1,0,48,0,256.000062,63.93700787,87.0,217.0
0,1,0,0,1,0,25,0,256.000062,63.93700787,69.5,204.0
0,1,0,0,1,0,17,0,900.0,120.0,89.2,1021.0
1,0,0,0,1,0,33,0,195.999442,56.06299213,57.43,164.0
0,1,0,0,0,1,37,1,34.41006882,58.18897638,116.5,370.0
1,0,0,0,1,0,20,0,195.999442,56.06299213,67.0,193.0
0,1,0,0,1,0,50,0,195.999442,56.06299213,100.0,483.0
0,1,0,0,0,1,22,1,21.39004278,56.37795276,36.0,490.0
0,1,0,0,1,0,73,0,256.000062,63.93700787,34.9015748,550.0
0,0,1,0,1,0,65,0,256.000062,63.93700787,29.88845144,441.0
0,0,1,0,1,0,15,0,195.999442,56.06299213,22.99868766,74.0
0,0,1,0,0,1,22,1,12.4000248,39.60629921,31.850393699999998,240.0
0,0,1,0,1,0,74,0,324.000248,71.96850394,23.78937008,250.0
0,1,0,0,1,0,17,0,195.999442,56.06299213,23.33989501,104.0
0,0,1,0,1,0,15,0,324.000248,71.96850394,48.99934383,310.0
0,1,0,0,1,0,41,0,256.000062,63.93700787,37.00131234,169.0
0,0,1,0,1,0,44,0,195.999442,56.06299213,41.00065617,329.0
0,1,0,0,1,0,64,0,195.999442,56.06299213,20.54133858,435.0
0,1,0,0,1,0,10,0,144.0,48.0,65.0,380.0
0,1,0,0,1,0,10,0,197.1216,56.16,65.0,383.0
0,1,0,1,0,0,10,0,19.25157638,40.07385905,66.0,291.0
0,1,0,0,1,0,18,0,144.0,48.0,65.0,380.0
0,1,0,0,1,0,18,0,197.1216,56.16,65.0,383.0
0,1,0,1,0,0,18,0,19.25157638,40.07385905,66.0,291.0
0,0,1,0,0,1,54,0,27.501704999999998,56.52393081,120.0,540.0
0,0,1,1,0,0,54,0,27.501704999999998,56.52393081,80.5,553.0
0,0,1,1,0,0,54,0,27.501704999999998,56.52393081,59.75,377.0
0,0,1,0,0,1,54,0,27.501704999999998,56.52393081,120.0,540.0
0,0,1,1,0,0,54,0,27.501704999999998,56.52393081,80.5,553.0
0,0,1,1,0,0,54,0,27.501704999999998,56.52393081,59.75,377.0
0,1,0,0,0,1,23,1,15.500031,47.63779528,120.0,315.0
0,1,0,0,1,0,27,0,575.999752,96.06299213,57.0,1686.0
0,1,0,0,0,1,27,1,34.41006882,58.18897638,63.0,762.0
0,1,0,0,0,1,21,1,15.500031,47.63779528,70.0,285.0
0,1,0,0,1,0,28,0,324.000248,71.96850394,25.0,427.0
0,1,0,0,1,0,28,0,324.000248,71.96850394,38.0,261.0
